image,rot_x,rot_y,ref_x,ref_y,centroid_x,centroid_y,img_width,img_height,dist_rot_centroid,dist_ref_centroid,dist_rot_ref,dist_rot_centroid_pct,dist_ref_centroid_pct,dist_rot_ref_pct
143,382,365,382,365,382.208992459194,370.0041846418,694,694,5.00854687281891,5.00854687281891,0,0.510313754706185,0.510313754706185,0
147,364,344,345,306,361.993280526324,349.87464100427,766,763,6.20792477202185,47.0505654195563,42.485291572496,0.574186691164982,4.35182600753357,3.92957226239808
150,341,343,324,362,329.549594187166,349.764561379938,679,762,13.2992888509698,13.4351759894513,25.4950975679639,1.3030473983038,1.31636144721615,2.49797721725657
151,371,382,338,362,352.647021975526,376.75847066068,673,761,19.0867868480206,20.7929725867586,38.5875627631495,1.87880823232076,2.04675665849295,3.79836748646448
160,336,420,336,420,346.722810374047,413.251521503491,640,761,12.6696734107718,12.6696734107718,0,1.274173419033,1.274173419033,0
163,324,399,324,399,311.785601256432,388.109696337121,646,760,16.3642980459468,16.3642980459468,0,1.64060553799226,1.64060553799226,0
166,323,361,323,456,326.420138224711,386.502936146656,678,760,25.7312474935933,69.5811700800718,95,2.52645753253675,6.83192182249571,9.32770421063927
168,439,442,417,522,433.130480321147,428.940014294701,875,802,14.3183269931602,94.4476221768521,82.9698740507662,1.20632168536271,7.95722955742714,6.9902271646027
171,404,402,404,402,396.304221341204,403.406568448902,767,801,7.82326299996495,7.82326299996495,0,0.705431413494931,0.705431413494931,0
176,380,400,380,400,380.786626580995,398.956250703014,721,800,1.30697894890731,1.30697894890731,0,0.121358266464864,0.121358266464864,0
180,480,362,480,298,453.087543214648,374.523912547853,913,852,29.6838123516793,81.1183673520054,64,2.37700856992712,6.49576449580624,5.12496665431619
181,390,384,409,363,386.883925037144,381.024179437279,741,851,4.30876214192091,28.5305418131153,28.3196045170126,0.381847736386988,2.52841128156949,2.50971776208909
183,334,405,334,405,331.090918527961,383.188795984344,668,851,22.0043490161266,22.0043490161266,0,2.03393340873414,2.03393340873414,0
186,359,384,359,346,365.064916923475,370.408802695596,756,768,14.8830057937196,25.1510012985804,38,1.38104305716415,2.33384413105506,3.52614498036299
189,430,384,450,365,449.193174894124,389.267395301205,817,768,19.9028494386005,24.2808039705528,27.5862284482674,1.7749803709833,2.16541609141847,2.4602011966272
192,434,448,434,428,430.288274285837,439.575446219955,825,814,9.20597708937286,12.1559805432654,20,0.794321199034595,1.04885694878755,1.72566407959355
200,373,428,353,387,371.456684111867,394.44991038797,783,813,33.5855673899641,19.9035261497564,45.6179789118282,2.97548722507294,1.76333742124607,4.04148936683891
